correct as of April 4 2022
Run	PTRIG1	Cur	ChCorr	pcal	hcal	hcer	aero	htrack	ptrack	TLT	BOIL	FADC	Total
6258	436.0	61.3	42.42	0.96	0.994	0.98	0.968	0.9991	0.9954	0.9760	0.9841	0.9782	0.8458
6259	436.4	61.3	138.60	0.96	0.994	0.98	0.968	0.9986	0.9943	0.9768	0.9841	0.9782	0.8452
6260	437.9	61.3	46.99	0.96	0.994	0.98	0.968	0.9981	0.9965	0.9781	0.9841	0.9781	0.8476
6261	95.4	40.8	140.78	0.96	0.994	0.98	0.968	0.9981	0.9985	0.9947	0.9894	0.9952	0.8836
6262	95.2	40.8	111.26	0.96	0.994	0.98	0.968	0.9977	0.9991	0.9948	0.9894	0.9952	0.8838
6263	509.3	30.3	45.04	0.96	0.994	0.98	0.968	0.9989	0.9955	0.9761	0.9921	0.9745	0.8495
6264	509.6	30.3	40.95	0.96	0.994	0.98	0.968	0.9985	0.9956	0.9765	0.9921	0.9745	0.8495
6265	511.3	30.8	40.58	0.96	0.994	0.98	0.968	0.9984	0.9950	0.9781	0.9920	0.9744	0.8502
6266	512.1	30.8	80.10	0.96	0.994	0.98	0.968	0.9990	0.9954	0.9767	0.9920	0.9744	0.8498
6267	512.4	30.8	55.33	0.96	0.994	0.98	0.968	0.9986	0.9969	0.9767	0.9920	0.9744	0.8507
6270	517.0	16.3	47.93	0.96	0.994	0.98	0.968	0.9986	0.9967	0.9802	0.9958	0.9742	0.8568
6271	516.6	16.3	75.10	0.96	0.994	0.98	0.968	0.9987	0.9967	0.9801	0.9958	0.9742	0.8566
6272	515.6	16.3	71.49	0.96	0.994	0.98	0.968	0.9989	0.9972	0.9791	0.9958	0.9742	0.8564
6273	518.0	16.3	32.68	0.96	0.994	0.98	0.968	0.9985	0.9949	0.9804	0.9958	0.9741	0.8552
6274	174.5	40.8	44.33	0.96	0.994	0.98	0.968	0.9987	0.9987	0.9914	0.9894	0.9913	0.8779
6275	174.4	40.8	72.50	0.96	0.994	0.98	0.968	0.9986	0.9986	0.9921	0.9894	0.9913	0.8784
6276	174.5	40.8	56.61	0.96	0.994	0.98	0.968	0.9991	0.9973	0.9926	0.9894	0.9913	0.8781
6281	483.0	35.8	110.06	0.96	0.994	0.98	0.968	0.9984	0.9967	0.9793	0.9907	0.9759	0.8528
6282	483.0	35.8	92.68	0.96	0.994	0.98	0.968	0.9987	0.9960	0.9792	0.9907	0.9758	0.8524
6284	483.3	35.8	138.79	0.96	0.994	0.98	0.968	0.9986	0.9964	0.9783	0.9907	0.9758	0.8519
6285	65.1	61.3	41.50	0.96	0.994	0.98	0.968	0.9981	0.9967	0.9932	0.9841	0.9967	0.8772
6286	75.9	71.8	195.23	0.96	0.994	0.98	0.968	0.9983	0.9961	0.9899	0.9813	0.9962	0.8712
6287	76.2	71.8	119.64	0.96	0.994	0.98	0.968	0.9988	0.9965	0.9899	0.9813	0.9962	0.8719
6288	16.2	40.8	149.75	0.96	0.994	0.98	0.968	0.9990	0.9990	0.9983	0.9894	0.9992	0.8916
6289	16.2	40.8	152.90	0.96	0.994	0.98	0.968	0.9973	0.9957	0.9982	0.9894	0.9992	0.8871
6290	182.1	71.8	125.88	0.96	0.994	0.98	0.968	0.9984	0.9956	0.9846	0.9813	0.9909	0.8614
6291	182.2	71.8	62.11	0.96	0.994	0.98	0.968	0.9979	0.9962	0.9853	0.9813	0.9909	0.8622
6292	347.2	71.8	111.14	0.96	0.994	0.98	0.968	0.9980	0.9968	0.9787	0.9813	0.9826	0.8499
6293	347.4	71.8	73.98	0.96	0.994	0.98	0.968	0.9984	0.9959	0.9785	0.9813	0.9826	0.8492
6294	29.9	40.8	54.64	0.96	0.994	0.98	0.968	0.9975	0.9975	0.9978	0.9894	0.9985	0.8879
6295	29.9	40.8	114.98	0.96	0.994	0.98	0.968	0.9994	0.9994	0.9976	0.9894	0.9985	0.8910
6296	29.7	40.8	107.38	0.96	0.994	0.98	0.968	0.9986	0.9959	0.9973	0.9894	0.9985	0.8871
6297	124.8	61.3	146.27	0.96	0.994	0.98	0.968	0.9981	0.9969	0.9894	0.9841	0.9938	0.8715
6298	124.6	61.3	60.92	0.96	0.994	0.98	0.968	0.9985	0.9979	0.9897	0.9841	0.9938	0.8731
6299	124.2	61.3	131.22	0.96	0.994	0.98	0.968	0.9994	0.9963	0.9902	0.9841	0.9938	0.8728
6300	250.8	61.3	119.01	0.96	0.994	0.98	0.968	0.9987	0.9968	0.9844	0.9841	0.9875	0.8620
